,Median Age,Median Male Age,Median Female Age,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Household Income,Income Per Capita,Employment Labor Force,Employment Unemployed,Median Gross Rent,Median Home Value,zipcode,lat,lng,city,state,Google_URL,Count
162,26.9,19,32,205,205,0,0,0,0,0,68,0,27,0,0,0,0,114,,7368,120,96,,27200,25115,38.122192,-81.182251,KANAWHA FALLS,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.122192,-81.182251&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",152
163,45.9,55.6,43.2,832,749,83,0,0,0,0,247,45,81,12,0,0,0,143,36711,20402,299,29,663,53200,25118,38.11166,-81.305965,KIMBERLY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.11166,-81.305965&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",162
164,21.4,19.1,28.1,558,558,0,0,0,22,0,134,18,15,0,0,8,0,83,42679,9620,169,0,555,66100,25119,38.041356,-81.276239,KINCAID,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.041356,-81.276239&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",173
165,44.7,47.3,43.5,678,678,0,0,0,0,0,381,26,0,0,0,0,0,43,,21690,221,0,,,25121,37.916211,-81.897277,LAKE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.916211,-81.897277&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",99
166,47.3,47.1,49,3408,3332,0,0,0,0,0,1194,193,100,285,24,21,0,513,41797,21768,1308,211,651,78400,25123,38.730175,-81.900044,LEON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.730175,-81.900044&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",143
167,45.1,44.8,46.4,1389,1389,0,0,0,16,0,510,0,101,33,101,0,0,168,54500,27113,779,0,,82800,25124,38.62249,-81.778935,LIBERTY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.62249,-81.778935&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",161
168,52.5,47.9,61,646,646,0,0,0,13,6,191,44,8,0,29,0,0,69,32604,16762,179,12,,76200,25125,38.311679,-81.21523,LIZEMORES,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.311679,-81.21523&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",133
169,59.5,,,44,0,22,0,0,0,0,22,9,0,0,0,0,0,0,69135,43570,22,0,,,25126,38.202733,-81.372678,LONDON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.202733,-81.372678&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",169
170,41.8,38.8,44.4,3491,3326,145,3,0,26,5,861,272,205,190,186,38,10,726,45027,25085,1332,86,629,101900,25130,38.032999,-81.752251,MADISON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.032999,-81.752251&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",134
171,15.2,14.2,32,267,267,0,0,0,0,0,39,19,0,0,0,0,0,190,26250,8194,40,0,,17500,25132,38.293532,-81.344598,MAMMOTH,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.293532,-81.344598&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",156
172,32.1,32.3,30.9,1031,1016,0,0,0,0,0,199,9,39,33,49,0,0,464,16992,13200,322,45,243,121800,25133,38.477116,-81.145106,MAYSEL,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.477116,-81.145106&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",86
173,43.5,37.4,50.8,432,359,0,0,0,47,0,211,41,0,0,0,0,0,0,48802,21703,223,27,,64000,25134,38.16283,-81.490556,MIAMI,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.16283,-81.490556&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",174
174,30.3,24.8,35.2,1863,1314,321,6,5,57,15,281,60,94,166,76,14,21,374,27647,18645,782,63,452,77600,25136,38.150173,-81.327319,MONTGOMERY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.150173,-81.327319&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",155
175,46.8,52.4,46,346,313,0,0,0,0,0,51,0,66,52,8,0,0,101,38378,26921,109,0,,112500,25139,38.137583,-81.291458,MOUNT CARBON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.137583,-81.291458&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",165
176,36.1,22.9,44.7,1334,1334,0,0,0,0,14,371,7,22,27,0,0,0,256,32188,13850,423,46,581,56800,25140,37.839893000000004,-81.498515,NAOMA,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.839893000000004,-81.498515&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",139
177,52.7,53.2,52.4,205,205,0,0,0,0,0,43,26,14,11,0,0,0,113,23333,9305,46,0,,69500,25141,38.626886,-81.025349,NEBO,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.626886,-81.025349&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",61
178,56.2,53,62.4,282,282,0,0,0,0,8,77,46,0,52,0,0,0,46,39405,32211,121,6,,76600,25142,38.153554,-81.729882,NELLIS,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.153554,-81.729882&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",163
179,42.6,41.1,43.7,7937,7629,156,0,10,54,15,1984,232,484,631,461,48,2,879,44382,25614,3844,146,704,94800,25143,38.417874,-81.819479,NITRO,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.417874,-81.819479&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",171
180,47.1,44.7,54.6,291,291,0,0,0,0,0,145,31,8,6,0,0,0,0,41071,16053,73,26,,45000,25148,38.045589,-81.56173,ORGAS,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.045589,-81.56173&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",189
181,43.2,38.5,45.9,196,157,0,0,0,0,0,83,0,7,0,0,0,0,56,34271,20265,45,0,,66400,25149,37.949155,-81.771997,OTTAWA,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.949155,-81.771997&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",88
182,55.1,57.3,53.7,323,264,14,0,0,0,0,143,0,15,9,0,0,0,79,29423,19388,79,8,,40900,25152,38.058191,-81.250675,PAGE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.058191,-81.250675&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",164
183,40.4,40.8,39.8,729,729,0,0,0,12,0,166,31,0,10,44,0,0,191,25648,19277,188,10,,76300,25154,38.120576,-81.713325,PEYTONA,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.120576,-81.713325&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",157
184,66.2,66.8,59.6,106,0,33,0,0,0,0,13,16,20,0,0,0,0,24,25577,11810,20,0,,,25156,38.183259,-81.336855,PINCH,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.183259,-81.336855&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",148
185,40.7,36.8,42.9,5711,5697,5,0,0,9,6,1382,166,211,570,186,10,0,1155,49505,21871,2562,141,791,118200,25159,38.523611,-81.788899,POCA,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.523611,-81.788899&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",174
186,45.5,19.9,52.3,173,75,0,0,0,0,0,65,22,10,0,0,0,0,0,,11564,56,12,,32400,25160,38.282203,-81.272662,POND GAP,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.282203,-81.272662&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",141
187,35.9,42.8,35.1,330,330,0,0,0,0,0,108,0,38,0,0,0,0,12,57917,19647,184,20,,106800,25161,38.052784,-81.318726,POWELLTON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.052784,-81.318726&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",164
188,42.8,36.6,48.5,520,484,4,2,0,0,0,101,21,33,43,50,0,0,75,48889,24409,196,5,600,87800,25162,38.207558,-81.387342,PRATT,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.207558,-81.387342&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",170
189,42.7,42,44.3,1284,1284,0,0,0,0,31,423,73,66,40,17,0,0,387,31287,15576,452,79,476,100900,25164,38.509184,-81.204946,PROCIOUS,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.509184,-81.204946&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",112
190,46.5,45.6,46.8,477,477,0,0,0,0,0,162,20,30,11,35,0,0,74,40139,22057,224,9,531,86600,25165,38.146044,-81.649422,RACINE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.146044,-81.649422&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",166
191,45.6,43.1,47.7,2182,2147,0,0,35,0,17,812,13,238,124,38,0,0,196,39657,20698,833,15,,106800,25168,38.560349,-81.87985,RED HOUSE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.560349,-81.87985&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",172
192,32.5,42.7,31.9,724,724,0,0,0,0,7,138,33,68,34,9,0,0,371,40313,13235,196,19,615,85000,25169,38.175825,-81.78984,RIDGEVIEW,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.175825,-81.78984&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",173
193,52.2,49.5,52.3,327,298,29,0,0,0,0,43,44,14,0,0,0,0,105,29107,13109,100,8,,43900,25173,38.091155,-81.229776,ROBSON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.091155,-81.229776&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",157
194,28.4,26.1,31.2,502,495,0,0,7,0,0,79,48,11,7,8,0,7,34,51181,20610,128,0,,39600,25174,37.86566,-81.410962,ROCK CREEK,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.86566,-81.410962&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",126
195,43.4,40.5,45,24605,23395,465,114,42,132,96,6087,1181,1264,2066,937,131,45,4288,42926,24525,11843,940,693,91700,25177,38.367284,-81.848331,SAINT ALBANS,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.367284,-81.848331&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",175
196,61.8,,61.2,65,65,0,0,0,0,0,36,7,0,0,0,0,0,0,,21762,27,0,,,25180,37.790262,-81.436271,SAXON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.790262,-81.436271&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",137
197,41.6,39.6,42,1450,1447,0,3,0,12,17,446,27,41,91,6,0,0,428,36530,18979,373,34,565,67200,25181,38.04929,-81.6412,SETH,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.04929,-81.6412&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",155
198,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,25183,37.914012,-81.790074,SHARPLES,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.914012,-81.790074&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",85
199,40.5,40.5,,1022,789,215,9,0,22,0,184,335,45,17,0,5,0,0,,6831,0,0,,,25185,38.235187,-81.238016,MOUNT OLIVE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.235187,-81.238016&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",138
200,36.2,28.9,43.3,1041,855,135,20,4,47,0,339,13,65,33,19,0,0,345,27639,15775,433,7,361,68600,25186,38.182372,-81.271197,SMITHERS,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.182372,-81.271197&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",148
201,52.5,49.5,54,929,929,0,0,0,0,0,123,167,0,15,18,0,0,40,47063,24411,489,0,,,25187,38.724539,-82.029452,SOUTHSIDE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.724539,-82.029452&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",169
202,39.7,39.1,44.6,329,328,0,0,0,0,0,86,18,5,7,6,0,0,44,42750,24492,126,7,536,61700,25193,38.03546,-81.507099,SYLVESTER,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.03546,-81.507099&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",182
203,,,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,24,,,0,0,,,25201,38.335613,-81.490465,TAD,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.335613,-81.490465&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",179
204,35.6,32.4,35.9,1159,1081,0,0,0,0,0,250,66,52,126,31,0,6,219,55063,26358,525,71,623,104300,25202,38.316375,-81.859088,TORNADO,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.316375,-81.859088&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",177
205,44.8,44.6,,88,88,0,0,0,0,0,23,25,8,7,0,0,0,73,,18227,7,0,,,25203,38.015993,-81.882308,TURTLE CREEK,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.015993,-81.882308&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",138
206,25.3,25.4,23.9,216,216,0,0,0,0,7,56,21,7,7,0,0,0,30,30417,15888,62,0,440,,25204,37.925321,-81.61456,TWILIGHT,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.925321,-81.61456&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",117
207,60.8,57.8,66.5,455,455,0,0,0,0,0,219,54,3,37,23,0,0,17,32301,20981,71,14,,69500,25205,38.019487,-81.793006,UNEEDA,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.019487,-81.793006&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",128
208,57,57.3,56.3,348,348,0,0,0,0,9,84,5,9,0,13,0,0,49,,21979,90,0,,24700,25206,37.997807,-81.695777,VAN,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.997807,-81.695777&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",126
209,39.3,40.3,39.3,1058,1049,0,0,0,5,20,249,55,33,17,0,0,0,158,45625,18696,360,42,516,53700,25208,37.836513,-81.639765,WHARTON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.836513,-81.639765&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",91
210,49,46.9,51,1207,1207,0,0,0,0,13,376,114,50,17,21,0,0,298,25250,21059,393,20,512,48800,25209,37.952988,-81.519912,WHITESVILLE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=37.952988,-81.519912&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",149
211,22.7,22.9,22.2,191,191,0,0,0,0,0,8,21,0,0,0,0,0,86,,11650,115,78,,,25211,38.46869,-80.888411,WIDEN,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.46869,-80.888411&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",89
212,43.4,43.3,43.7,5999,5765,3,0,0,26,3,1343,152,393,765,328,36,9,572,58190,34283,2964,42,532,155600,25213,38.512666,-81.913305,WINFIELD,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.512666,-81.913305&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",173
213,23.1,21.8,27.6,654,512,0,0,0,0,0,159,37,10,0,12,0,0,253,71563,19187,208,26,,57300,25214,38.187702,-81.538244,WINIFREDE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.187702,-81.538244&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",176
214,43.2,43.8,43.1,1567,1554,0,5,0,0,21,570,84,9,68,0,9,0,155,53826,22969,764,122,574,79100,25234,38.811456,-81.138257,ARNOLDSBURG,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.811456,-81.138257&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",61
215,46.2,44.6,46.8,750,737,5,0,0,0,0,160,51,31,46,42,0,0,136,34258,19332,379,55,,58800,25235,38.669527,-81.0895,CHLOE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.669527,-81.0895&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",60
216,45.2,45.4,44.6,1883,1883,0,0,0,0,4,532,40,142,186,22,9,0,341,40096,21107,630,77,501,89200,25239,38.83866,-81.846681,COTTAGEVILLE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.83866,-81.846681&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",96
217,38.7,35.8,43.8,1612,1583,11,0,0,0,0,328,65,102,179,64,0,29,46,67617,26735,650,13,1077,144400,25241,38.787975,-81.810031,EVANS,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.787975,-81.810031&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",119
218,52.6,53.8,51.5,636,632,0,0,0,0,20,215,65,27,11,0,0,0,118,30313,21786,216,26,575,96400,25243,38.686717,-81.479468,GANDEEVILLE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.686717,-81.479468&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",129
219,50,48.4,58,555,541,0,0,0,0,0,148,34,28,22,0,0,0,80,38750,14931,141,0,,35000,25244,38.767566,-81.550872,GAY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.767566,-81.550872&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",115
220,49.1,49.4,47.6,622,622,0,0,0,0,0,178,38,53,0,34,0,0,169,54318,32610,332,13,,121800,25245,38.69742,-81.755385,GIVEN,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.69742,-81.755385&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",164
221,42,39.4,45.3,527,497,5,0,0,0,0,141,48,16,12,2,0,0,122,32625,16325,218,22,628,66800,25247,39.005944,-82.006294,HARTFORD,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=39.005944,-82.006294&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",133
222,44.4,39.7,48.4,2984,2984,0,0,0,0,0,928,66,97,276,18,30,74,358,38981,30709,1014,30,,166100,25248,38.644268,-81.613862,KENNA,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.644268,-81.613862&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",155
223,35,35.3,33,565,565,0,0,0,0,0,148,18,9,3,0,0,0,163,32917,15726,107,0,,72300,25251,38.620525,-81.236323,LEFT HAND,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.620525,-81.236323&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",91
224,45,44.7,45.2,1205,1132,73,0,0,0,8,315,63,116,132,22,0,0,82,50028,25595,512,16,,113800,25252,38.950961,-81.511175,LE ROY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.950961,-81.511175&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",127
225,43.1,43.3,42.5,2163,2147,0,0,16,0,48,807,68,127,129,22,13,0,435,34972,19433,967,60,383,83900,25253,38.921064,-81.96149,LETART,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.921064,-81.96149&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",119
226,43.8,45.5,38.9,536,502,0,0,4,0,0,227,17,25,26,10,0,0,89,42083,20012,152,22,,79500,25259,38.673526,-81.251761,LOONEYVILLE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.673526,-81.251761&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",93
227,47.1,42.2,52,1644,1566,23,0,0,0,0,522,89,109,69,22,0,0,412,36433,19354,672,51,517,81200,25260,39.003788,-82.031958,MASON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=39.003788,-82.031958&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",106
228,55.6,55.3,58.5,309,309,0,0,0,0,0,145,42,0,0,9,0,0,106,28382,13043,85,8,,82900,25261,38.821662,-81.080487,MILLSTONE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.821662,-81.080487&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",65
229,42.6,42.8,42.5,1107,1107,0,0,0,0,13,178,8,118,110,0,0,0,12,71094,29392,676,41,,118200,25262,38.907802,-81.826041,MILLWOOD,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.907802,-81.826041&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",133
230,39.1,29.6,42.2,335,335,0,0,0,0,0,64,10,17,0,0,0,0,0,28500,12630,100,15,,68000,25264,38.859864,-81.893884,MOUNT ALTO,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.859864,-81.893884&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",97
231,40.3,41.3,37.4,1477,1466,0,0,0,0,0,436,27,147,107,23,0,2,326,36712,20799,628,80,534,81400,25265,38.986622,-81.957737,NEW HAVEN,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.986622,-81.957737&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",137
232,35.3,35.8,35,1017,972,0,0,0,0,7,227,37,7,81,8,0,0,378,27500,15956,304,17,,87300,25266,38.605981,-81.162323,NEWTON,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.605981,-81.162323&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",75
233,44.5,44.2,44.8,737,715,0,0,0,0,10,194,59,0,31,44,0,7,144,38194,20507,329,34,,71400,25267,38.833599,-80.940901,NORMANTOWN,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.833599,-80.940901&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",57
234,53.7,54.9,47.6,765,755,0,0,0,0,8,239,56,30,94,0,0,0,137,31397,17858,329,144,,59500,25268,38.725084,-81.076202,ORMA,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.725084,-81.076202&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",74
235,40.6,44.9,36,1091,1077,0,0,6,6,6,336,24,56,91,2,0,0,129,43958,19896,484,45,950,88200,25270,38.864758,-81.424903,REEDY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.864758,-81.424903&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",70
236,40.2,38.1,42.3,9673,9413,110,0,35,0,5,2224,380,335,833,397,55,18,1706,40275,23127,4026,308,570,121700,25271,38.78851,-81.692539,RIPLEY,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.78851,-81.692539&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",106
237,46.5,36.4,47.7,1933,1795,0,0,0,0,0,466,57,118,67,58,0,0,610,31269,17834,805,6,,86100,25275,38.921509,-81.610584,SANDYVILLE,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.921509,-81.610584&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",104
238,43.5,41.7,45.7,7718,7579,3,11,9,103,58,2013,394,229,518,191,17,46,1667,29905,17795,2852,269,408,88700,25276,38.78208,-81.328691,SPENCER,WV,"https://maps.googleapis.com/maps/api/place/radarsearch/json?location=38.78208,-81.328691&radius=40233&keyword=Grocery&key=AIzaSyA_Clyz3478YAUnsESNHE5dyktvvMoa-vw",71
